user_id,date,amount,description,category,payment_mode
20,2022-01-01,262.43,haircut salon,Miscellaneous,Debit Card
1,2022-01-01,79.48,auto rickshaw,Transport,UPI
20,2022-01-01,667.66,Apollo pharmacy,Healthcare,Credit Card
10,2022-01-01,337.28,Blinkit order,Shopping,Credit Card
19,2022-01-01,1439.73,IRCTC train ticket,Transport,UPI
16,2022-01-01,49.77,notebook purchase,Education,Debit Card
19,2022-01-01,388.42,unknown merchant,Miscellaneous,Net Banking
15,2022-01-01,1743.84,D-Mart grocery,Shopping,Cash
3,2022-01-01,256.53,Ola cab,Transport,Net Banking
16,2022-01-01,3646.68,train travel IRCTC,Travel,Credit Card
13,2022-01-01,478.05,Swiggy order,Food,Cash
19,2022-01-01,2078.31,train travel IRCTC,Travel,UPI
1,2022-01-01,1311.19,Steam game purchase,Entertainment,Cash
15,2022-01-01,125.75,Ola cab,Transport,Debit Card
18,2022-01-01,963.87,mobile repair,Miscellaneous,Cash
18,2022-01-01,333.76,BWSSB water bill,Utilities,Net Banking
15,2022-01-01,530.03,BESCOM electricity bill,Utilities,Debit Card
1,2022-01-01,243.17,Café Coffee Day,Food,Cash
9,2022-01-01,498.22,BSNL broadband,Utilities,Credit Card
3,2022-01-01,277.09,local restaurant bill,Food,Cash
6,2022-01-01,1288.09,Coursera subscription,Education,Credit Card
5,2022-01-01,1272.06,MakeMyTrip hotel,Travel,Cash
8,2022-01-01,1780.04,Flipkart order,Shopping,Net Banking
5,2022-01-01,520.2,unknown merchant,Miscellaneous,UPI
15,2022-01-01,177.4,Ola cab,Transport,Credit Card
20,2022-01-01,422.7,Hotstar subscription,Entertainment,UPI
11,2022-01-01,710.06,Pizza Hut,Food,Credit Card
12,2022-01-01,1843.77,BESCOM electricity bill,Utilities,Cash
13,2022-01-01,14009.93,fixed deposit SBI,Investments,Net Banking
15,2022-01-01,295.63,Practo consultation,Healthcare,Cash
20,2022-01-01,453.14,BSNL broadband,Utilities,UPI
3,2022-01-01,1517.36,diagnostic lab test,Healthcare,Cash
20,2022-01-01,1023.41,Flipkart order,Shopping,Net Banking
17,2022-01-01,556.82,eye checkup,Healthcare,Cash
16,2022-01-01,1504.89,college mess fee,Food,UPI
16,2022-01-01,5419.0,Goibibo trip,Travel,Debit Card
5,2022-01-01,258.42,Practo consultation,Healthcare,Cash
6,2022-01-01,204.17,Café Coffee Day,Food,UPI
11,2022-01-01,888.09,gas cylinder booking,Utilities,UPI
3,2022-01-01,211.47,Haldiram snacks,Food,UPI
19,2022-01-01,1744.57,gift purchase,Miscellaneous,Debit Card
5,2022-01-01,119.0,Spotify premium,Entertainment,Net Banking
19,2022-01-01,318.89,laundry service,Miscellaneous,Cash
10,2022-01-02,1260.8,Unacademy subscription,Education,Net Banking
8,2022-01-02,708.9,Amazon purchase,Shopping,UPI
16,2022-01-02,786.29,Udemy course,Education,UPI
18,2022-01-02,4427.66,mutual fund SIP HDFC,Investments,Debit Card
18,2022-01-02,33036.5,college fee,Education,Cash
7,2022-01-02,2509.64,Amazon purchase,Shopping,UPI
11,2022-01-02,685.21,doctor consultation,Healthcare,Cash
8,2022-01-02,315.74,Myntra clothes,Shopping,Cash
3,2022-01-02,376.44,Ola cab,Transport,UPI
10,2022-01-02,552.7,BSNL broadband,Utilities,Debit Card
1,2022-01-02,162.53,breakfast at hotel,Food,Debit Card
18,2022-01-02,938.34,Barbeque Nation,Food,Credit Card
6,2022-01-02,605.26,Hotstar subscription,Entertainment,Cash
3,2022-01-02,2739.27,LIC premium,Investments,Cash
3,2022-01-02,466.21,Practo consultation,Healthcare,Debit Card
20,2022-01-02,577.8,vitamin supplements,Healthcare,Net Banking
5,2022-01-02,537.78,eye checkup,Healthcare,Credit Card
7,2022-01-02,238.94,INOX ticket,Entertainment,Net Banking
14,2022-01-02,472.14,Airtel postpaid,Utilities,UPI
15,2022-01-02,1291.09,Udemy course,Education,UPI
19,2022-01-02,3498.61,IndiGo flight,Travel,Cash
17,2022-01-02,3149.15,Zerodha brokerage,Investments,Credit Card
5,2022-01-02,884.84,donation charity,Miscellaneous,Cash
17,2022-01-02,446.49,McDonald's,Food,Net Banking
